address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,27.05,75.75,Wood Heaven Farms,16,601,Farm Stay,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.44,77.19,Farmhouse With Pool For #Photo Shoot !!!,16,601,Farm Stay,
"Panchgani, Maharashtra, India",Panchgani," Maharashtra, India",0,17.93,73.80,Estella By Vista Grande,16,595,Entire Villa,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.60,73.76,10-12 Person | Pool Villa | Bfast & Dinner | Bbq,11,495,Farm Stay,
"Kochi, Kerala, India",Kochi," Kerala, India",0,9.96,76.24,"Beachgate Bungalows By Cgh Earth, Fort Kochi Beach",6,541,Entire Home,5.00
"Calangute, Goa, India",Calangute," Goa, India",1,15.54,73.77,Elevate Your Next Adventure At Villa Calangute Goa,16,502,Entire Home,
"Pawas, Maharashtra, India",Pawas," Maharashtra, India",0,16.87,73.31,O'Pearl 9bhk Beach Touch Private Villa With Pool,16,601,Entire Villa,
"Panchgani, Maharashtra, India",Panchgani," Maharashtra, India",0,17.92,73.81,Dazzling Hills-Pure Veg Villa By 29bungalow,15,550,Entire Villa,
"Baga, Goa, India",Baga," Goa, India",0,15.57,73.75,5bhk Private Pool La Baga Villa At Baga,12,601,Entire Villa,
"Mahabaleshwar, Maharashtra, India",Mahabaleshwar," Maharashtra, India",0,17.92,73.67,Private 10 Room Farmhouse - Rare Find Mahablshwar,16,533,Entire Villa,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",1,26.93,75.72,"Executive 4 Rooms, Bath, Cook, Parking,",12,553,Entire Villa,
"Bijainagar, Rajasthan, India",Bijainagar," Rajasthan, India",0,25.91,74.59,Bijay Niwas Palace - A Heritage Hotel,15,722,Room In Heritage Hotel,
"Aamwala, Uttarakhand, India",Aamwala," Uttarakhand, India",1,30.37,77.99,"Div Estate: Wedding Venue (Aamwala, Dehradun)",10,601,Farm Stay,
"Nerul, Goa, India",Nerul," Goa, India",0,15.51,73.80,11bhk (5+6)Luxury Private Pool Villa Near Candolim,16,601,Entire Villa,
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.36,77.00,Video Shoot Package,16,601,Farm Stay,
"Mararikulam, Kerala, India",Mararikulam," Kerala, India",0,9.60,76.30,Ninteen People Accomodation At Mararikulam Beach,16,541,Private Room In Bed And Breakfast,
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.48,76.39,Spice Routes Houseboats - Pepper,4,534,Houseboat,
"Alappuzha, India",Alappuzha, India,0,9.46,76.39,Spice Routes Houseboat- Saffron,2,541,Houseboat,
"Calangute, Goa, India",Calangute," Goa, India",0,15.57,73.76,9 Bedroom Villa With Swimming Pool @ Baga River,16,490,Entire Villa,
"Chuchot Yakma, India",Chuchot Yakma, India,0,34.09,77.58,Chomal Huts,10,541,Private Room In Resort,
"Nashik, Maharashtra, India",Nashik," Maharashtra, India",0,20.07,73.64,Gp Farm 8bh Villa,16,505,Private Room In Resort,
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.54,73.81,Monforte Villa I By Lohono Stays,8,655,Entire Home,
"Penha De França, Goa, India",Penha De França," Goa, India",0,15.54,73.82,Boohemiaa Greek Villa (With Private Pool),6,593,Entire Villa,
"Kashid, Maharashtra, India",Kashid," Maharashtra, India",0,18.44,72.91,Beacho 8bhk By Unexplora,14,541,Entire Bungalow,
"Gadherni, Himachal Pradesh, India",Gadherni," Himachal Pradesh, India",0,32.21,77.18,Princess Villa Manali,16,601,Room In Boutique Hotel,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.78,73.39,Mountain-View - 3br W/Swimming Pool @Geometrica,9,500,Entire Villa,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.63,73.63,The Rustic Pines,16,577,Entire Chalet,
"Kumdal, Maharashtra, India",Kumdal," Maharashtra, India",0,19.71,73.01,Pasiiflora (Wada),16,533,Farm Stay,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.64,77.17,Stay In Heritage House In The Heart Of City,15,601,Entire Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.53,73.80,Perfect Getaway - Lux 6br+Pool,16,678,Entire Home,
